date,steps,rest_hr,floors,exercise_minutes,stand_minutes,walk_hr
2019-11-06,15171,58,20,96,164,109
2019-11-07,11476,55,25,75,105,118
2019-11-08,13626,56,23,72,159,105
2019-11-09,5954,54,3,25,112,85
2019-11-10,7189,55,3,38,95,82
2019-11-11,14996,50,31,86,151,97.5
2019-11-12,13523,51,35,87,127,111.5
2019-11-13,13186,54,31,65,144,94
2019-11-14,15576,60,6,35,219,97
2019-11-15,15739,60,14,53,259,94
2019-11-16,14576,59,15,41,268,86
2019-11-17,6127,53,5,22,92,95
2019-11-18,13850,57,28,79,140,113
2019-11-19,13970,56,25,82,140,111
2019-11-20,12271,57,28,69,126,113
2019-11-21,13418,59,27,83,135,115
2019-11-22,13778,58,27,82,144,117
2019-11-23,11069,56,13,42,150,95
2019-11-24,9492,57,9,46,135,91
2019-11-25,13354,58,26,85,127,113
2019-11-26,9582,61,21,42,139,78
2019-11-27,6601,55,2,4,148,73
2019-11-28,4408,57,NA,10,88,84.5
2019-11-29,6510,58,2,11,128,83
2019-11-30,1460,55,2,2,31,103.5
2019-12-01,10425,57,8,72,103,80
2019-12-02,14099,58,26,85,143,121.5
2019-12-03,21422,60,30,147,214,99
2019-12-04,12827,61,27,76,139,118
2019-12-05,12260,59,27,79,108,119
2019-12-06,11914,58,5,48,154,84
2019-12-07,11289,55,1,19,215,91
2019-12-08,5028,56,3,9,108,75
2019-12-09,13057,58,28,72,150,98
2019-12-10,11431,55,25,74,116,119
2019-12-11,17397,54,28,96,172,214
2019-12-12,13274,57,20,76,146,221
2019-12-13,12507,56,20,62,117,115.5
2019-12-14,8347,55,2,14,162,78.5
2019-12-15,10740,55,3,41,149,83
2019-12-16,10366,54,23,59,89,77.5
2019-12-17,10116,55,22,56,91,81
2019-12-18,15493,56,32,94,156,112
2019-12-19,14124,62,21,85,169,117
2019-12-20,4281,57,1,7,68,94
2019-12-21,9235,58,5,31,156,82.5
2019-12-22,6967,58,NA,10,137,88
2019-12-23,4154,53,3,7,84,81
2019-12-24,11594,55,8,45,204,72
2019-12-25,10880,57,9,38,155,76.5
2019-12-26,9804,60,5,10,199,92
2019-12-27,9082,59,5,15,181,78
2019-12-28,4817,58,11,9,107,86
2019-12-29,8068,58,12,31,119,112
2019-12-30,2928,65,4,4,102,83
2019-12-31,3622,64,6,17,70,91
2020-01-01,4565,60,1,13,104,88
2020-01-02,10759,59,2,31,159,89.5
2020-01-03,12153,62,21,73,125,103.5
2020-01-04,12270,61,3,62,176,94
2020-01-05,7039,59,21,42,67,77
2020-01-06,12018,59,1,77,143,77
2020-01-07,12479,58,14,79,128,98
2020-01-08,13264,57,26,81,126,80
